orden,rama,ocupacion,tareas,tecno
3206,"PANADERIA, ATENCION AL PUBLICO",ATENCION AL PUBLICO EN GENERAL EN PANADERIA,ATENCION PUBLICO EN PANADERIA,CAJA REGISTRADORA
3209,"DOMICILIO PARTICULAR, SERVICIO DE JARDINERIA","CHANGARIN, JARDINERO","CORTAR CESPED, ARREGLO DE JARDINES PARTICULARES","BORDEADORA, RASTRILLO"
3210,"ENERSA, EMPRESA DE ENERGIA DE LA PROVINCIA DE ENTRE RIOS","EMPLEADO DE ENERSA, ENCARGADO DE ALMACENES","CONTROL DE MERCADERIAS, LOGISTICA, EVALUACION DE STOCK, PROVISION DE MATERIALES ELECTRICOS","SAMPIC, UTILITARIOS, HERRAMIENTAS MANUALES, COMPUTADORA, SCANER DE INVENTARIOS"
3216,HACE CHANGAS Y ALBAÑILERIA CON EL PADRE,"CHANGARIN, JARDINERO",CHANGAS DE ALBAÑIL,"PALAS, HORMIGONERAS, CARRETILLAS, BALDES"
3218,SERVICIO PENITENCIARIO PROVINCIAL,"CABO PRIMERO, GUARDIA CARCEL",GUARDIAS EN UNIDAD PENAL,"EQUIPOS DE COMUNICACIÃ“N, ACTAS, CUADERNOS DE INFORMES"
3239,INVERNACULO DE TOMATES Y MORRONES,EMPLEADA RURAL,"TAREA DE CULTIVO DE TOMATE, MORRON, ANANA","MACHETE, PALA, AZADA"
3246,VENTA DE REPUESTOS DEL AUTOMOTOR,ADMINISTRACION,INGRESO DE MERCADERIA AL SISTEMA,COMPUTADORA
3256,CUIDAR NIÑOS,NIÑERA,CUIDADO DE NIÑOS,NO UTILIZA
3266,EMPRESA LIFE DE SERVICIOS URBANOS MUNICIPALES,NS/NR,NS/NR,NS/NR
3289,COMPRA Y VENTA DE LADRILLOS,VENDEDORA,COMPRABA LOS LADRILLOS A LOS FABRICANTES Y LOS VENDIA,CAMION
3299,"LIMPIEZA DE CASAS, PLANCHADO",EMPLEADA DOMESTICA,,"ESCOBA, ESCURRIDOR, PLANCHA"
3323,"CHACRA, DE TODO UN POCO, PLANTAN","AYUDANTE, TEREFERO","COSECHA, AYUDA EN LA CHACRA TAREFEA O CON EL ILEGIBLE","MANOS, TIJERA, AZADA, MACHETE"
3326,SECADERO DE YERBA MATE,GERENTE ADMINISTRATIVO,"TRAMITES PAPELES DE LA EMPRESA, CONTABILIDAD",PROGRAMA INFORMATICA
3332,CASA DE FAMILIA,EMPLEADA DOMESTICA,LIMPIEZA,UTENSILIOS DE LIMPIEZA
3334,LAVADERO Y TALLER MECANICO,LAVO COCHES,"LAVA, LUSTRA LOS AUTOS","ESPONJAS, HIDROLAVADORA, ASPIRADORA"
3335,CATASTRO PROVINCIAL,ADMINISTRATIVO,CARGA DE DATOS DE INMUEBLES,PC
3336,EDUCACION PRIMARIA,ORDENANZA EN ESCUELA PRIMARIA,LIMPIEZA DE INSTALACIONES,"ELEMENTOS LIMPIEZA, BALDES, ESCOBILLON, PALAS"
3342,COMERCIO DE MUEBLES Y ARTICULOS DEL HOGAR,EMPLEADA,VENTA Y ATENCION PUBLICO,"PC, REGISTRADORA, POSNET"
3352,MUNICIPALIDAD DE PARANA,EMPLEADO,ATENCION PUBLICO Y TAREAS ADMINISTRATIVAS,"PC, TELEFONO"
3353,GERIATRICO MUNICIPAL,SERENO,VIGILAR Y CUIDAR ESTABLECIMIENTO,TELEFONO
3356,"UNIVERSIDAD, LABORATORIO DE BIO INFORMATICA",BIOINFORMATICA,TAREAS DE CULTIVOS CELULARES Y BIOQUIMICOS,"PC, INSTRUMENTAL DE LABORATORIO, MICROSCOPIO"
3407,UNIDAD DE LIMPIEZA DE MUNICIPIO,"EMPLEADO ADMINISTRATIVO, AREA DE LIMPIEZA, MUNICIPIO","ENCARGADA, COORDINADOR DE OFICINA","COMPUTADORA, TELEFONO, INTERNET"
3413,"DOCENTE SECUNDARIA, LENGUA Y LITERATURA",DOCENTE,"DICTA CLASES, TAREAS PEDAGOGICAS","LIBROS, FOTOCOPIAS, AFICHES"
3429,DIRECCION DE VIALIDAD PROVINCIAL,SERVICIO DE BUFFET,SERVICIO DE LUNCH,"CAFETERA, MICROONDAS, COCINA, ARTICULOS DE COCINA"
3430,FRIGORIFICO CARNES VACUNAS,COMPRAS HACIENDAS,VIAJES DE LOCALIZACION Y NEGOCIACION DE COMPRAS DE ANIMALES,"VEHICULO, TELEFONO"
3444,"TEJIDO AL CROCHET Y DOS AGUJAS, HACE PAN CASERO","TEJEDORA, PANADERA","TEJE PRENDAS POR PEDIDO, HACE PAN CASERO LOS FINES DE SEMANA","AGUJAS DE TEJER, HORNO DE BARRO Y BANDEJAS"
3452,EMPRESA CONSTRUCTORA DEDICADA AL DESMONTE,MAQUINISTA DE RETROEXCAVADORA,"USA LA RETRO PARA DESMONTAR, ZANJEAR, HACER TALUDES",RETROEXCAVADORA
3456,TRANSPORTE DE PRODUCTOS DE COPETIN A OTRAS PROVINCIAS,CAMIONERO TRANSPORTISTA,TRANSPORTA PRODUCTOS DE COPETIN DESDE UNA FABRICA A COMPRADORES DE OTRAS PROVINCIAS,"CAMION RECOLECTOR, GUANTES"
3457,COMERCIO PROPIO RUBRO VERDULERIA,"VERDULERIA, COMERCIANTE",VENDE FRUTAS Y VERDURAS EN UN LOCAL,"BALANZA, CALCULADORA, CUCHILLO"
3462,TRANSPORTE DE CARGA,CAMIONERO TRANSPORTISTA,CONDUCE UN CAMION,CAMION
3465,FABRICA DE ABERTURAS,PERSONA DE CARGA,CARGA Y DESCARGA ABERTURAS EN EL DEPOSITO,"NINGUNA, LA CARGA SE HACE A MANO"
3468,CONSTRUCCION PARTICULAR,OFICIAL ALBAÑIL,CONSTRUYE Y REFACCIONA VIVIENDAS,
3472,MUNICIPALIDAD DE COLONIA AVELLANEDA,EMPLEADO MUNICIPAL,"TRABAJA EN LOS TALLERES MUNICIPALES, FABRICAN Y ARREGLAN ELEMENTOS DE LOS ESPACIOS PUBLICOS",
3474,SERVICIO ATMOSFERICO DE LA MUNICIPALIDAD DE COLONIA AVELLANEDA,CHOFER DE CAMION ATMOSFERICO,DESAGOTA POZOS CIEGOS,"CAMION ATMOSFERICO, MANGUERAS"
3481,MUNICIPALIDAD DE LARROQUE,"SERVICIO PUBLICO EN PARQUES, OFICINAS",CONTROL DE LAS PARQUIZACIONES EN LARROQUE,NINGUNA
3486,PLANTA CEREALERA,LIMPIEZA DE OFICINAS,LIMPIAR LOS MUEBLES Y LOS PISOS,"ESCOBA, TRAPOS, BALDES, PRODUCTOS DE LIMPIEZA"
3487,POLLERIA,COCINERO,"ELABORAR MILANESAS, PULPETINES, EMBUTIDOS","CUCHILLO, TABLAS Y BALANZAS"
3492,DOMICILIO PARTICULAR,MODISTA DE ROPA,CONFECCION DE VESTIDOS Y BORDADO,"MAQUINA DE COSER Y BORDAR, AGUJAS, HILOS"
3495,EMPRENDIMIENTO PERSONAL,COSTURERA,"ARREGLOS DE COSTURA, COLOCACION DE CIERRES, CONFECCION DE PRENDAS","MAQUINA DE COSER RECTA DOMESTICA, MAQUINA OVERLOCK DOMESTICA, AGUJAS, TIJERA, CENTIMETRO"
3506,SERVICIO TECNICO Y VENTA DE PRODUCTOS ELECTRONICOS Y SISTEMAS DE SEGURIDAD,VENDEDOR,"VENTA DE ALARMAS DOMICILIARIAS, CAMARAS, ATENCION AL PUBLICO, REALIZAR PRESUPUESTOS, COBROS","CALCULADORA, TELEFONO, FACTURERO"
3508,VENTA DE BIJOUTERIE POR CATALOGO,VENDEDORA,"MOSTRAR CATALOGO A CLIENTES, CONCRETAR VENTAS, ENTREGA DE FORMULARIO DE PEDIDOS A LA EMPRESA, COBROS",CATALOGO
3512,"CASA DE GOBIERNO, GOBIERNO PROVINCIAL, DIRECCION GENERAL DE ESCUELAS",ADMINISTRATIVA,CONTROL DE EXPEDIENTES Y RESOLUCIONES,"COMPUTADORA, IMPRESORA"
3524,"CADENA DE DISTRIBUCION DE PRODUCTOS DE CONSUMO MASIVO, HIPERMERCADO",ATENCION AL PUBLICO EN EL AREA DE SERVICIOS FINANCIEROS,"ATENCION AL CLIENTE QUE SOLICITA TARJETA DE LA CADENA, ELABORAR INFORMES DE SITUACION DE LOS CLIENTES, PLANILLAS","COMPUTADORA, FOTOCOPIADORA, TELEFONO"
3531,CHANGAS,CHANGAS,CUIDA COCHES,"TRAPO, BALDE"
3558,NIÑERA,NIÑERA,CUIDADO DE NIÑOS,NINGUNA
3566,LIMPIEZA A DOMICILIO,EMPLEADA DOMESTICA,"LIMPIEZA A DOMICILIO, PLANCHADO Y LAVADO DE ROPA","ELEMENTOS DE LIMPIEZA, LAVARROPAS, PLANCHA"
3580,DIRECCION GENERAL DE ESCUELAS,ADMINISTRATIVO,TAREAS ADMINISTRATIVAS,"COMPUTADORA, PAPELES, LAPICERA, ABROCHADORA"
3584,DOCENTE,ENSEÑA ESCUELA PRIMARIA,ENSEÑA,"CARPETAS, LIBROS, COMPUTADORAS, REGISTROS"
3590,"DOCENTE, PROFESORA, LENGUA Y LITERATURA","ENSEÑA, SECUNDARIOS","DA CLASES, ENSEÑA","CARPETAS, LIBROS, COMPUTADORA"
3591,CENTRO COMERCIAL,EMPLEADO ADMINISTRATIVO,TAREAS ADMINISTRATIVAS,"COMPUTADORA, PAPELES, LAPICERA, ABROCHADORA"
3592,DOCENTE,ENSEÑA NIVEL INICIAL,ENSEÑA,"CARPETAS, LIBROS, PLANILLAS, LAPICERAS"
3602,,MUCAMA,"LIMPIAR, ORDENAR","ESCOBA, TRAPOS, SECADOR"
3613,,SERVICIO DOMESTICO,LIMPIEZA DE VIVIENDA,"ASPIRADORA, PLUMERO, ESCOBA"
3616,9801,EMPLEADA DOMESTICA,LIMPIEZA CASAS,"PLUMERO, ESCOBA, BALDES"
3626,ARREGLO ZAPATOS,ZAPATERO,"COSE ZAPATOS, TIÑE","MAQUINA DE COSER, TIJERAS, HILOS, CEPILLOS"
3642,ENSEÑANZA,RECTORA,"COORDINAR, PROGRAMAR CLASES","COMPUTADORA, TELEFONO"
3643,MEDIACION JUDICIAL,ABOGADO,"CITACIONES, RESOLUCION DE CONFLICTOS","TELEFONO, COMPUTADORA"
3648,TALLER DE ESCAPES,ADMINISTRATIVA,"CONTESTAR TELEFONO, Y ENCARGADO DE TRAMITES","COMPUTADORAS, TELEFONO, LAPICERA"
3650,CASAS DE FAMILIAS PARTICULARES,DAMA DE COMPAÑÃA DE ANCIANOS,CUIDA ANCIANOS POR HORAS,"PAÑALES, GASAS, SUERO, MEDICACION"
3654,SUPERMERCADO,EMPLEADO,,
3661,DIARIO,DIARIERO,REPARTIR DIARIOS,DIARIO
3665,ESTABLECIMIENTO EDUCATIVO,"DOCENTE, CONTADORA","DAR CLASES, HACER BALANCES, IMPUESTOS","PIZARRON, TIZA, IMPUESTOS, CALCULADORA"
3670,"SUPERMERCADO, VENTA DE MERCADERIA",CAJERA,COBRAR,"CAJA, TARJETAS, ROLLO"
3685,9801,MUCAMA,LIMPIEZA DE CASA,"ESCOBILLON, SECADOR"
3690,9801,EMPLEADA DOMESTICA,LIMPIEZA,"LAMPAZO, ESCOBA, ELEMENTOS DE LIMPIEZA"
3693,ROTISERIA,EMPLEADA DE COMERCIO,ATENCION AL PUBLICO,DELANTAL
3705,CONSTRUCCION,OBRERO,"PREPARAR MEZCLA, COLOCACION DE LADRILLOS","MEZCLADORA, PALA, PICO"
3710,CONSTRUCCION,ALBAÑIL,"PREPARAR MEZCLA, TAREAS DIVERSAS DE CONSTRUCCION","MEZCLADORA, CEMENTO, YESO"
3713,CONSTRUCCION,ALBAÑIL,AYUDANTE DE CONSTRUCCION,"PALA, MARTILLO, MAZA"
3717,TALLER,MECANICO,ARREGLO DE AUTOS,"PINZAS, TENAZAS, TALADRO"
3728,KIOSCO,ATENCION AL PUBLICO,ATENCION AL PUBLICO,"CALCULADORA, BALANZA"
3748,EN CASA DE FAMILIA,NIÑERA,CUIDAR UN NIÑO,JUGUETES
3782,"COMERCIO, POLLERIA",DUEÑA DEL COMERCIO,"VENTAS, TROZADO DE POLLOS, ADMINISTRACION","FREEZER, BALANZA, CUCHILLO"
3787,COSTURA,COSTURERA,CONFECCION Y ARREGLO DE PRENDAS,MAQUINA DE COSER
3788,MUNICIPALIDAD,EMPLEADOS MUNICIPALES,LIMPIEZA EN LA VIA PUBLICA,"UNIFORME, PALAS, ESCOBA"
3795,MUNICIPALIDAD,SEGURIDAD,EMPLEADO DE SEGURIDAD DEL EDIFICIO MUNICIPAL,"TELEFONO CELULAR, UNIFORME"
3803,YESERIA,YESERO,COLOCACION DE TECHOS DE YESO,"YESO, FRATACHO, ESCALERA"
3832,SERVICIO DOMESTICO CUIDADO AL ANCIANO,"LIMPIEZA, CUIDADO DE ADULTO MAYOR","LIMPIEZA DE HOGARES, CUIDADO DE ADULTO MAYOR, ALIMENTO E HIGIENE",UTENSILIOS DE HIGIENE
3834,"ALMA MORA, FRAGANCIAS","VENTA POR CATALOGO DE FRAGANCIAS, LIDER","VENTA DE PRODUCTOS POR CATALOGO, COORDINACION DE GRUPOS DE VENDEDORES","CATALOGOS, PRODUCTOS"
3839,FABRICACION DE MUEBLES,CARPINTERO,DISEÑO Y ARMADO DE MUEBLES,"MARTILLO, LIJADORA, AGUJEREADORA"
3841,ALOJAMIENTO DE TURISTAS,RECEPCIONISTA EVENTUAL,"RECEPCION DE HUESPEDES, ATENCION DE DEMANDAS","TELEFONO, REGISTRO, LAPICERA"
3846,PRODUCCION DE PETROLEO,TECNICO SUPERIOR DE INFORMATIVA DE PERFORACION,CARGABA DATOS EN EL PROGRAMA Y SUPERVISABA LA INFORMACION QUE LLEGABA DE LA PERFORACION,
3849,9801,EMPLEADA DOMESTICA,LIMPIEZA DE CASA,"ARTICULOS DE LIMPIEZA, ESCOBILLON, PLUMERO"
3852,CUIDAR NIÑOS,NIÑERA,CUIDAR NIÑOS,JUEGOS
3853,9801,"MUCAMA, EMPLEADA DOMESTICA",MANTENIMIENTO DE LIMPIEZA,ELEMENTOS DE LIMPIEZA
3860,MUNICIPALIDAD DE CAPITAL,SECRETARIA,TAREAS ADMINISTRATIVAS,"COMPUTADORA, PAPELES, LAPICERA"
3870,EMPRESA DE VENTA DE SODA,SODERO,VENTA DE SODA,VEHICULO
3872,"BODEGA, UVA, VINO","COSECHADOR, TRABAJADOR DE LA TIERRA","COSECHA, PODA, LABRA LA TIERRA","TIJERA, ARADO, APARATO PARA CORTAS LIGUSTRINES"
3873,9802,EMPLEADA DOMESTICA,LIMPIEZA,"PRODUCTOS DE LIMPIEZA, LAMPAZO, ESCOBA"
3875,9801,EMPLEADA DOMESTICA,LIMPIEZA,"PRODUCTOS DE LIMPIEZA, ESTROPAJO, ESCOBA"
3881,9803,EMPLEADA DOMESTICA,LIMPIA LA CASA,ELEMENTOS DE LIMPIEZA VARIOS
3884,PANADERIA,EMPLEADO DE COMERCIO,ATIENDE AL PUBLICO,DELANTAL
3887,"MODISTA, CONFECCION DE ROPA",MODISTA,COSE ROPA DE ALTA COSTURA Y PARA SU FAMILIA,MAQUINA DE COSER
3894,MANTENIMIENTO DE MAQUINARIAS,TECNICO ELECTROMECANICO,"CONTROLAR LAS MAQUINARIAS, HACER REPARACIONES Y CONEXIONES","MAQUINAS, HERRAMIENTAS ELECTRICAS DE MANO, NOTEBOOK"
3911,ADMINISTRACION PUBLICA,"EMPLEADO PUBLICO, PODER JUDICIAL",ADMINISTRADOR,"COMPUTADORA, REGISTROS, BIROMES, HOJAS"
3913,INSTRUCCIÃ“N PARA CHICOS DISCAPACITADOS,PSICOLOGA,ATENCION A LOS CHICOS,"TEST, ENTREVISTAS"
3917,CASA DE FAMILIA,EMPLEADA DOMESTICA,"LIMPIA LA CASA, COCINA, LAVA, PLANCHA","GAMUZA, LAMPAZO"
3926,DOCENTE,EDUCAR,DOCENCIA,"LIBROS, CUADERNOS"
3930,PANADERIA,PANADERO,ELABORACION DE PAN,"SOBADORA, AMASADORA Y ARMADORA DE PAN"
3937,ESCUELA,CELADOR,LIMPIABA LA ESCUELA,"LAMPAZO, ESCOBA"
3940,AYUDANTE DE ALBAÑIL,OBRERO DE LA CONSTRUCCION,"CONSTRUCCION Y REPARACION DE CASAS, LOCALES","PALA, HORMIGONERA, CARRO, ESPATULA"
3945,EMPLEADO EN PIZZERIA,CAJERA EN PIZZERIA,CAJERA,"DINERO, CAJA REGISTRADORA"
3954,"CAMARA DE DIPUTADOS, CASA DE GOBIERNO",SECRETARIO GENERAL,"TOMAR DECISIONES, CONTROLAR EXPEDIENTES","CARPETAS, ARCHIVOS, EXPEDIENTES"
3964,GALPON DE AJO,OBRERO DE EMPACADORA DE AJO,CORTAR EL AJO,TIJERA
3969,PINTURA DE VIVIENDAS,PINTOR DE VIVIENDAS,"PREPARAR PAREDES Y SUPERFICIES, PINTAR PAREDES, TECHOS, MARCOS","RODILLO, PINCELES, BROCHA, LIJAS, ESPATULA, RECIPIENTES"
3983,ORGANISMO PUBLICO QUE CONTROLA COMERCIO DE SEMILLAS,INGENIERA AGRONOMA INSPECTORA,INSPECCION DE SEMILLAS HORTICOLAS,"COMPUTADORA PORTATIL, CAMIONETA, UNIFORME"
3991,COMERCIANTE ALMACENERA,COMERCIANTE ALMACENERA,ATENCION AL PUBLICO EN UN ALMACEN,"BALANZA, CAJA REGISTRADORA, CUCHILLOS"
3996,FINCA DE UVA,AGRICULTOR,"RIEGO DE FINCA, MANEJA EL TRACTOR","TRACTOR, ARADO, RASTRA"
3997,IGLESIA,"LIMPIEZA, COLABORA EN LO QUE HAGA FALTA","LIMPIAR, ORDENAR",ARTICULOS DE LIMPIEZA
4002,PRODUCTORA DE SEGUROS,"ASESORA DE SEGUROS PARA AUTOS, CASAS","ATENCION AL PUBLICO, ASESORAMIENTO Y VENTA DE SEGUROS","ESCRITORIO, TELEFONO, COMPUTADORA, PAPELES"
4005,CONTROL FITOSANITARIO,"ADMINISTRATIVO, PUESTO DE CONTROL",REVISA FRUTAS EN CONTROL FITOSANITARIO,"ANOTADOR, LINTERNA, PLANILLAS"
4006,EDUCACION,"VICEDIRECTORA, DOCENTE PRIMARIA","ADMINISTRA COLEGIO, ACOMPAÑAMIENTO (ILEGIBLE)","ESCRITORIO, COMPUTADORA"
4010,CONSTRUCCION DE VIVIENDAS,OFICIAL ALBAÑIL,"ARMADO DE VIGAS, PEGAR LADRILLOS, PREPARAR MEZCLA","HORMIGONERA, PALA, CUCHARA. AMOLADORA"
4018,NEGOCIO FAMILIAR VENTA DE MERCADERIA,VENDEDORA,ATIENDE Y COBRA LO QUE VENDE EN SU NEGOCIO,"LAPICERA, CALCULADORA, CUADERNO DE FIADO, BOLSAS"
4031,BAR DE COMIDA,MOZO,ATIENDE A LAS PERSONAS QUE LLEGAN AL BAR,"BANDEJA, LIBRETA, UNIFORME"
4039,TRABAJA EN CASAS DE FAMILIA,PLOMERO,"ARREGLA CAÑOS, PILETAS, LLUVIAS A DOMICILIO",CAJA DE HERRAMIENTAS
4061,ENSEÑANZA,DOCENTE,ENSEÑAR,"PIZARRON, TIZAS, CUADERNOS"
4069,ENFERMERA EN SANATORIO PRIVADO,ENFERMERA PROFESIONAL,COORDINADORA DE LA TERAPIA INTENSIVA,"PLANILLAS, COMPUTADORAS"
4077,CONSTRUCCIÃ“N VIAL,SERENO,"CUIDADO DE MAQUINARIA, HERRAMIENTAS, EN LA NOCHE","CELULAR, LINTERNA"
4078,"GASTRONOMIA, RESTAURANTE",AYUDANTE DE COCINA EN GENERAL,"ORDENAR, COCINAR Y COLABORAR EN EL BAR","ELEMENTOS, UTENSILIOS DE COCINA Y LIMPIEZA"
4091,COMPRA Y VENTA,COMERCIANTE,VENTA,"CAJA REGISTRADORA, PAPELES"
4095,FABRICACION DE ALUMINIO,EMPLEADO,,"CASCO, BOTINES, UNIFORME, MAQUINAS"
4096,CONSTRUCCIONES DE CASAS,ALBAÑIL,"CONSTRUCCION Y REPARACION , CAVAR, REVOCAR","PALA, CARRETILLA, MARTILLO, GUANTES"
4124,CONSTRUCCION DE CASAS,ALBAÑIL,"CAVAR, REVOCAR, CONSTRUIR PAREDES","PALA, CARRETILLA, GUANTES, CUCHARA"
4135,DIRECCION DE FAMILIA Y MINORIDAD,OPERADOR DE CENTRO LOCAL TRABAJO TERRITORIAL,VISITAS Y SEGUIMIENTOS DE CASOS POR DENUNCIAS DEL 102,
4138,COOPERATIVA DE TRABAJO,,,
4143,"SALUD, MATERNIDAD DE LA PROVINCIA","ENFERMERA NEONATOLOGA, JEFE DE AREA",CONTROL Y CUIDADO DE LOS RECIEN NACIDOS,"MEDICAMENTOS, COMPUTADORAS, PLANILLAS, CAMAS. INCUBADORAS"
4153,ATENCION AL CLIENTE SEGÃšN LA EMPRESA,ATENCION Y ASESORAMIENTO PARA EL CALL CENTER,ASESORA A LOS QUE INGRESAN AL CALL CENTER PARA ATENDER LLAMADAS,"COMPUTADORA DE ESCRITORIO, MICROFONO, PAPEL, PLANILLAS"
4155,COMPRA Y VENTA DE FRUTAS Y VERDURAS (MERCOFRUTA),"VENTA DE VERDURAS, COMERCIANTE","COMPRA LA MERCADERIA, FRUTAS, VERDURAS, HUEVOS EN EL MERCADO Y LAS REVENDE EN LAS FERIAS DE BARRIO DE MANERA AMBULANTE","CAJONES, CAMIONETA, BALANZA, BOLSAS DE PLASTICO"
4160,REALIZA CONSTRUCCIONES,OFICIAL ALBAÑIL,"MAMPOSTERIA, CONSTRUCCION EN GENERAL","MAQUINA HORMIGONERA, PALA, PICO, TABLAS, HIERROS"
4167,"PRESTACION DE SALUD, SANATORIO",ENFERMERA,CUIDADO Y GESTIONES ADMINISTRATIVAS,"ELEMENTOS DE CONTROL DE ENFERMOS, MEDICAMENTOS"
4192,"MUNICIPALIDAD DE ALBERDI, CONCEJAL",CONCEJAL,PRESENTA PROYECTOS EN EL CONCEJO DELIBERANTE,
4193,CAJERO DE UN COMERCIO,EMPLEADO DE SUPERMERCADO,RECIBE EL PAGO DE LOS PRODUCTOS A COMPRAR,
4194,TRANSPORTE DE PERSONAS,CHOFER DE AUTOS RURALES EN TODA LA PROVINCIA,REALIZAR VIAJES RURALES,AUTOMÃ“VIL
4210,ELABORACION DE BOLSOS Y TEJIDOS,,ELABORACION DE BOLSAS Y COSTURA,"TIJERA, TELAS, CIERRES"
4211,CONSTRUCCION DE VIVIENDAS,,CONSTRUCCION,"BALDE, PALA, CEMENTO, CLAVOS"
4217,KIOSCO,VENTA DE MERCADERIAS,ATENCION AL PUBLICO,BALANZA FREEZER MOSTRADOR
4218,KIOSCO,VENTA DE MERCADERIAS,ATENCION AL PUBLICO,BALANZA FREEZER MOSTRADOR
4221,,SERVICIO DOMESTICO,LIMPIEZA,"ESCOBA, ESCURRIDOR, TRAPO DE PISO"
4228,COMERCIO PANADERIA,PASTELERIA REPOSTERIA,"ELABORACION DE TORTAS, MASAS, DULCES",
4229,COMERCIO,REPOSITOR ATENCION AL CLIENTE,ATENCION AL PUBLICO REPOSICION DE MERCADERIAS,
4243,LAVADERO,LAVA AUTOS,SECA Y LAVA AUTOS,ASPIRADORA HIDROLAVADORA
4250,EMPRESA DE COMPRA Y VENTA DE MADERA,CAMIONERO,MANEJA EL CAMION,CAMION
4253,ESTABLECIMIENTO EDUCATIVO,SUPERVISOR,SUPERVISA ESCUELAS AUTORIDADES Y DOCENTES,N/S
4260,CHANGAS EN CASAS DE FAMILIA,CHANGARIN,"CORTAR PASTO, PODAR, VENDER LEÑA","MOTOSIERRA, MACHETE"
4264,DOCENTE JUBILADO PRIMARIO,MAESTRO DE GRADO JUBILADO,"ENSEÑANZA, MAESTRO DE GRADO","PIZARRON, TIZA. LIBROS, PAPEL Y LAPIZ"
4265,DOCENTE PROFESORA DE GEOGRAFIA,PROFESORA DE GEOGRAFIA EN SECUNDARIAS,ENSEÑANZA EN EL AREA DE GEOGRAFIA SECUNDARIA,"PIZARRON, LIBROS, COMPUTADORAS, PAPEL Y LAPIZ"
4274,DOCENTE DE PLASTICA PRIMARIO,DOCENTE DE PLASTICA Y TECNOLOGIA,ENSEÑANZA EN EL AREA DE TECNOLOGIA,"LAPICES, COLORES, TEMPERA, CARTON, HIERRO"
4283,CONTRATISTA CAPATAZ DE OBRA,CONTRATISTA,CONTRATAR MANO DE OBRA,"PERSONAS, INDIVIDUOS CONTRATADOS"
4284,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA DE LA CASA,"BALDE, ESCOBA, DETERGENTE, SECADOR"
4286,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIEZA DE LA CASA Y PLANCHADO,"PLANCHA, BALDE, TRAPO, ESCOBA, AGUA, DETERGENTE"
4307,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,"LA HIGIENE DE LA CASA, PLANCHAR Y ORGANIZAR","BALDE, ESCOBA, REJILLAS, DETERGENTES, SECADOR"
4335,PROMOCION Y CUIDADO DE LA SALUD,PROMOTORA DE SALUD,"VISITA A HOGARES PARA HACER VACUNAS, PREVENCION, RELEVAMIENTO ENFERMOS","GUANTES, JERINGAS, BALANZA, TENSIOMETRO"
4340,COMERCIO DE PRODUCTOS REGIONALES Y ABOGADO,COMERCIANTE Y ABOGADO,"COMPRA Y VENDE MIEL, DULCES, CONSERVAS","COMPUTADORA, PAPEL, CALCULADORA"
4349,ELECTRICISTA Y PLOMERIA,ELECTRICISTA Y PLOMERO,INSTALACIONES ELECTRICAS Y SANITARIAS,"DESTORNILLADOR, PICO DE LORO, TENAZA"
4354,"ENVASADORA, PAPEL Y BOLSAS",OPERARIO ENVASADOR,"ARMAR, ENSAMBLAR, PEGAR Y SELLAR LOS ENVASES","MAQUINA ENSAMBLADORA, CONFECCIONADORA Y CORTE"
4357,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,"LIMPIA EL PISO, LAVA ROPAS Y PLATAS, PLANCHADO","ESCOBA, LAVARROPAS, PLANCHA, BALDE"
4368,COMERCIALIZACION DE YERBA VERDE,TAREFERO,CORTA Y RECOGE LA YERBA,"MACHETE, TIJERA"
4373,HOSPITAL PUBLICO APS ATENCION PRIMARIA DE LA SALUD,SECRETARIA ADMINISTRATIVA SECTOR APS,"ESTADISTICAS, ATENCION A MEDICOS","EQUIPO INFORMATICO, PAPEL, TELEFONO. INTERNET"
4374,ESCUELA SECUNDARIA PROGRAMA CONECTAR IGUALDAD,ADMINISTRADOR DE RED,"TECNICO, REPARACION Y CAPACITACION A DOCENTES EN USO DE TICS","NOTEBOOK, DISPOSITIVOS DE ALMACENAMIENTO, DESTORNILLADOR"
4379,MINIMERCADO AUTOSERVICIO,CARNICERO,"CORTAR, VENDER CARNE, DESARMAR RESES","CUCHILLO, SIERRA, BALANZA, DELANTAL, HELADERAS"
4384,SERVICIO DE MAYORDOMIA,MAYORDOMO,"LIMPIEZA EN HOTELES, MUDANZAS","LAVANDINA, DESODORANTE DE AMBIENTE, BLEM, REJILLA"
4386,CUIDADO DE ADULTOS MAYORES,CUIDADORA DE ADULTOS MAYORES,CUIDADO DE ANCIANOS,MEDICAMENTOS QUE SUMINISTRAR
4393,SERVICIO DE RECOLECCION DE RESIDUOS,RECOLECTOR DE RESIDUOS MUNICIPAL,RECOLECCION DE RESIDUOS POR LA NOCHE EN BARRIOS DE POSADAS,"GUANTE, BOLSAS, BOTAS, UNIFORME"
4394,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIEZA DE HOGAR FAMILIAR,"BALDE, AGUA, TRAPOS, ESCOBA, LAVANDINA, ESCURRIDOR, REJILLA"
